entry_time,exit_time,entry_price,exit_price,qty_btc,notional_eur,sl_price,tp_price,pnl_eur,pnl_pct_of_account,confidence,prob_up,close_reason,bars_held,exit_month,balance_after,gross_gain_eur,gross_loss_eur
2026-03-02 00:00:00,2026-03-02 04:00:00,66532.38,66772.07,0.279972,18627.18,65543.61,68509.94,67.11,0.36,0.703,0.703,SHORT_SIGNAL_SPOT_EXIT,4,2026-03,19674.67,67.11,0.0
2026-03-02 07:00:00,2026-03-02 15:00:00,65960.02,67967.2,0.283368,18690.93,64956.44,67967.2,568.77,3.043,0.6669,0.6669,TAKE_PROFIT,8,2026-03,20243.43,568.77,0.0
2026-03-03 05:00:00,2026-03-03 08:00:00,67875.95,67081.62,0.28333,19231.26,67081.62,69464.63,-225.06,-1.17,0.6769,0.6769,STOP_LOSS,3,2026-03,20018.37,0.0,-225.06
2026-03-03 13:00:00,2026-03-03 16:00:00,66931.0,68553.3,0.284135,19017.46,66119.85,68553.3,460.95,2.424,0.6937,0.6937,TAKE_PROFIT,3,2026-03,20479.33,460.95,0.0
2026-03-04 03:00:00,2026-03-04 08:00:00,67669.06,69759.35,0.287507,19455.36,66623.92,69759.35,600.97,3.089,0.7286,0.7286,TAKE_PROFIT,5,2026-03,21080.3,600.97,0.0
2026-03-04 11:00:00,2026-03-04 16:00:00,71131.12,73327.89,0.28154,20026.29,70032.73,73327.89,618.48,3.088,0.705,0.705,TAKE_PROFIT,5,2026-03,21698.78,618.48,0.0
2026-03-05 17:00:00,2026-03-06 05:00:00,70707.57,70448.74,0.291537,20613.84,69618.0,72886.71,-75.46,-0.366,0.7237,0.7237,TIME_EXIT,12,2026-03,21623.32,0.0,-75.46
2026-03-06 05:00:00,2026-03-06 12:00:00,70448.74,69712.98,0.29159,20542.16,69712.98,71920.28,-214.54,-1.044,0.7348,0.7348,STOP_LOSS,7,2026-03,21408.78,0.0,-214.54
2026-03-06 14:00:00,2026-03-07 02:00:00,68341.33,68298.1,0.297599,20338.34,67532.41,69959.16,-12.86,-0.063,0.7524,0.7524,TIME_EXIT,12,2026-03,21395.92,0.0,-12.86
2026-03-07 08:00:00,2026-03-07 19:00:00,67763.16,67318.93,0.299958,20326.12,67318.93,68651.63,-133.25,-0.656,0.7958,0.7958,STOP_LOSS,11,2026-03,21262.66,0.0,-133.25
